pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en
0.403444,0.301963;9.36163,0.1,1.7415,10.0,0.304099,2.22038,2.79591,0.290759,10.0,0.896805
0.408704,0.301074;1.50185,0.855382,2.80908,0.255797,9.61068,0.192471,9.27297,0.1,9.75612,0.1
0.411841,0.303111;2.14545,0.1,0.209055,0.275234,0.1,0.1,10.0,0.1,10.0,4.72344
0.418536,0.304088;10.0,0.213683,1.87683,0.103325,3.63479,0.1,1.1141,0.182768,0.300877,0.134592
0.423331,0.301999;1.50185,0.855382,2.80908,0.291593,10.0,0.142122,9.27297,0.1,9.75612,0.1
0.427072,0.302707;1.50185,0.855382,2.80908,0.335331,10.0,0.201604,9.27297,0.1,9.75612,0.1
0.430788,0.303232;10.0,0.236473,0.288402,0.1,10.0,0.1,0.584504,0.357152,0.19823,0.1
0.438277,0.303541;4.38511,0.1,0.651353,6.17941,0.1,0.983645,10.0,2.64244,10.0,3.33232
0.444331,0.300759;10.0,0.1,0.292506,10.0,0.1,0.425939,0.1,0.211415,10.0,0.777201
0.448667,0.300757;10.0,0.72643,2.2226,10.0,10.0,7.12041,0.1,0.1,6.97248,1.20001
0.451876,0.301277;4.53078,0.166876,0.1,3.11339,0.169629,0.12786,0.139086,0.100444,1.08748,0.211866
0.45731,0.304541;10.0,0.515431,0.1,10.0,0.1,1.03314,10.0,0.125,10.0,6.53333
0.463687,0.304421;10.0,0.1,0.1,0.1,10.0,0.1,0.346894,0.357152,0.19823,0.1
0.467697,0.301674;10.0,0.1,2.13458,10.0,4.35343,3.19417,1.84609,3.23741,10.0,0.1
0.472534,0.300526;10.0,0.1,0.399388,10.0,0.209551,0.668849,0.1,0.1,10.0,0.743381
0.476382,0.302258;0.559948,0.142557,0.1,0.1,10.0,1.73414,10.0,10.0,0.493254,0.1
0.483244,0.304218;2.35241,0.1,0.1,0.210341,10.0,0.637893,2.79223,0.433346,4.09911,2.23481
0.485214,0.303821;10.0,0.1,3.23716,10.0,10.0,8.01702,1.38084,0.289016,10.0,2.23481
0.4917,0.301554;10.0,0.1,1.92177,0.270339,10.0,0.1,0.762692,0.923462,0.300877,0.134592
0.496991,0.300076;10.0,0.1,0.1,10.0,0.36743,0.1,0.1,1.14675,10.0,0.1
0.501627,0.300858;0.1,0.1,0.1,0.1,10.0,10.0,0.368242,10.0,10.0,10.0
0.508392,0.304496;10.0,0.1,0.1,0.1,10.0,0.105121,0.1,0.566872,0.225271,0.1
0.513965,0.303713;10.0,0.185266,1.77519,10.0,2.69564,2.37215,0.810935,2.66672,10.0,0.1
0.515991,0.30452;2.35241,0.109191,0.1,0.210341,10.0,0.637893,2.19107,0.433346,4.09911,2.23481
0.520132,0.300193;0.431307,0.304729,0.95524,0.1,5.41343,0.732286,10.0,0.230193,0.203274,0.158234
0.529275,0.302421;10.0,0.138707,2.54532,0.1,3.63479,0.1,1.1141,0.421202,0.300877,0.134592
0.530897,0.304909;10.0,0.340883,0.125827,10.0,0.1,0.104687,0.1,0.927822,10.0,0.743381
0.539634,0.300629;1.50185,0.794646,1.00137,0.1,10.0,0.143917,0.130192,0.1,5.04685,0.1
0.543327,0.304732;1.50185,0.794646,0.903951,0.1,10.0,0.220257,0.1,0.1,5.72583,0.1
0.545186,0.303267;5.48632,0.209529,1.82931,0.112408,10.0,0.165727,0.183065,0.1,0.220759,0.106644
0.550387,0.303625;1.50185,0.794646,1.53974,0.343556,10.0,0.637948,7.40951,0.115803,7.20082,0.1
0.559725,0.30069;10.0,0.1,0.1,0.1,4.7446,0.1,8.70091,0.1,9.84512,3.77478
0.564507,0.302895;10.0,0.1,0.183136,0.915745,5.87539,0.1,10.0,1.00097,10.0,4.58267
0.568609,0.301432;10.0,0.1,0.128804,0.11347,10.0,0.207463,0.1,0.1,0.19823,0.1
0.571942,0.302799;10.0,10.0,1.19469,0.177136,10.0,4.94763,10.0,9.02105,9.88644,5.1302
0.578036,0.302444;10.0,0.1,0.1,10.0,0.1,0.532429,0.477901,0.224324,10.0,0.743381
