pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en,fd,fn,gd,gn
0.403918,0.300718;10.0,0.398379,9.20696,10.0,0.1,10.0,10.0,0.1,0.1,0.792628,0.183,0.179102,6.88788,0.752099
0.4068,0.302708;10.0,0.1,0.1,10.0,0.1,0.49281,5.14822,0.281396,0.1,0.295472,0.169751,0.29561,5.87446,0.102147
0.412749,0.299897;10.0,0.1,10.0,10.0,0.1,10.0,0.510608,0.1,0.1,0.1,10.0,0.137169,10.0,0.172952
0.415442,0.300935;10.0,0.1,10.0,10.0,0.1,10.0,0.510608,0.1,0.1,0.127608,10.0,0.1,10.0,0.408466
0.423197,0.303532;2.81992,1.43549,0.967458,0.1,10.0,1.35096,0.1,0.1,0.166036,0.1,9.4862,2.81947,10.0,0.1
0.425844,0.299947;10.0,0.1,10.0,10.0,0.1,10.0,0.565029,0.139579,0.1,0.1,10.0,0.137169,10.0,0.172952
0.432101,0.303598;1.33211,0.1,0.1,0.139427,0.146396,0.1,0.571916,0.1,0.199774,0.1,10.0,0.1,10.0,4.71596
0.439085,0.303124;10.0,0.206584,10.0,10.0,0.1,10.0,10.0,2.06336,1.50624,2.4714,0.1,0.1,10.0,0.1
0.441461,0.304803;10.0,10.0,6.11867,0.69448,10.0,0.232123,0.1,0.1,0.1,10.0,9.74231,0.210759,10.0,4.75087
0.448567,0.304741;10.0,0.195529,10.0,10.0,0.1,10.0,10.0,2.16126,1.50624,2.4714,0.576556,0.1,10.0,0.131123
0.453214,0.30481;10.0,0.1,10.0,10.0,0.1,10.0,0.510608,0.1,0.1,0.38651,10.0,0.137169,10.0,0.765576
0.457586,0.304565;2.70309,1.43549,1.49162,0.229696,10.0,3.48762,10.0,0.1,0.774,0.1,0.136495,0.1,5.62563,0.1
0.462761,0.300881;10.0,0.1,10.0,10.0,0.1,10.0,0.510608,0.189616,0.1,0.135572,10.0,0.122982,10.0,0.176529
0.467206,0.302156;0.268092,0.140081,0.246009,0.1,6.2939,0.1,0.239228,0.1,9.13205,10.0,1.31759,2.04559,6.24688,0.322546
0.473712,0.30456;0.197446,0.1,0.377616,0.1,10.0,0.1,0.1,0.1,10.0,10.0,10.0,0.448734,6.37435,0.1
0.475961,0.303636;10.0,0.1,10.0,0.1,10.0,10.0,10.0,0.1,0.1,0.1,0.298684,0.710098,0.389447,0.1
0.484143,0.300222;0.252597,0.138754,0.62166,0.132503,10.0,0.1,0.1,0.11176,0.242376,0.1,8.82524,0.1,0.205594,0.1
0.487853,0.301691;2.70309,1.43549,1.67879,0.1,10.0,0.1,0.217054,0.1,0.1,0.1,5.66698,2.05488,10.0,0.1
0.494858,0.304655;2.70309,1.43549,1.2638,0.1,9.20008,0.389553,0.450924,0.1,0.320981,0.294881,0.1,0.1,10.0,0.109823
0.497625,0.303739;10.0,0.1,10.0,10.0,0.1,10.0,0.1,0.138196,0.1,0.127608,10.0,0.1,10.0,0.408466
0.501558,0.300321;6.05412,0.1,0.214607,0.148474,3.79774,0.1,0.1,0.412135,8.66239,0.1,0.929526,0.1,0.765685,0.393269
0.50604,0.300138;10.0,5.56666,3.18122,0.1,3.7982,0.105409,10.0,0.330227,3.37685,4.72475,0.1,0.410973,10.0,0.610924
0.51142,0.30007;0.171232,0.1,0.62166,0.1,10.0,0.1,10.0,0.11176,0.242376,0.1,8.82524,1.69051,0.205594,0.115797
0.517337,0.303477;2.70309,1.43549,1.2638,0.1,10.0,0.1,0.1,0.1,0.320981,0.1,0.1,0.965356,10.0,0.187033
0.521125,0.304304;0.1,0.1,10.0,10.0,10.0,10.0,10.0,1.78406,10.0,10.0,0.1,0.1,9.23386,4.72679
0.527624,0.30177;10.0,0.184425,10.0,10.0,0.1,10.0,0.510608,0.179086,0.118732,0.201897,10.0,0.111172,8.98077,0.172952
0.53442,0.301377;0.1,0.1,0.1,0.1,4.90468,1.42712,0.1,5.27097,10.0,10.0,0.159583,10.0,3.17279,0.1
0.53643,0.302584;2.70309,1.43549,1.2638,0.1,10.0,0.1,0.1,0.1,0.52359,0.1,0.1,0.1,10.0,0.160581
